Review text,Ratings,sentiment,clean_review
"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1,0,product not original cork used come within day use please buy shuttle not original rather buy shop shop rate read
Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1,0,quality not good earlier also manufactur date also long back earlier shuttlecock received max past month manufacturer also back read
Not genuine productREAD MORE,1,0,not genuine productread
Waste productREAD MORE,1,0,waste productread
I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1,0,used shuttle item not quality slow disappointed time read
Very High PriceREAD MORE,1,0,high priceread
"Bad bad , compare to ah year back coming mavis 350READ MORE",1,0,bad bad compare year back coming mavis read
"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5,1,yonex mavis best among yonex shuttlecock playing one year price increasing unnecessarily last year read
Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1,0,bad product quality used shuttle day totally wastage money copied productread
All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1,0,shuttle heavier specification felt like playing cheap rip original mavis read
3rd class quality  I want Returns but time is overREAD MORE,1,0,class quality want return time overread
Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1,0,worst shuttle ever shuttle started spinning shot not even come game read
Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1,0,certain cork damaged certain cork not even came matchesread
Very bad quality 👎READ MORE,1,0,bad quality read
Not expected qualityREAD MORE,1,0,not expected qualityread
Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1,0,bad quality play shuttleread
not durable. very poor qualityREAD MORE,1,0,not durable poor qualityread
but price is littel bit highREAD MORE,4,1,price littel bit highread
GoodREAD MORE,5,1,goodread
not the required one.READ MORE,5,1,not required one read
This product is not original.please avoid online purchase.READ MORE,1,0,product not original please avoid online purchase read
One shuttle was damaged and vobling..let me know what to doREAD MORE,1,0,one shuttle damaged vobling let know doread
Good quality productREAD MORE,4,1,good quality productread
Good shuttle and  classic productREAD MORE,5,1,good shuttle classic productread
got defective piecesREAD MORE,1,0,got defective piecesread
"bad packing, unsatisfiedREAD MORE",1,0,bad packing unsatisfiedread
Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5,1,pro quality product yonex original shuttle run long prompt delivery flipkart shuttle durable con noneread
good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5,1,good quality nice product thanks fpr fast deliveryread
Nice cockeREAD MORE,5,1,nice cockeread
Good qualityREAD MORE,5,1,good qualityread
Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1,0,scratch code mentioned barrel verified yonex sunrise website mentioned product duplicate read
it's awsm 😎READ MORE,4,1,awsm read
reasonable priceREAD MORE,5,1,reasonable priceread
"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5,1,excellent product original product received fast delivery second tough read
One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5,1,one best offer given flipkart best shuttle tournament training always use type shuttle play yonex mavis green thanks flipkart best deal always put type deal booked read
"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4,1,good question lasting match purchase yonex mavis blue one little bit fast good smash lasting like green capread
Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4,1,mavis quite durable really good starter recommend mavis best practice session read
"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4,1,received product committed time thanks flipkart mavis really awesome product matter whether beginner intermediate advanced level player mavis definitely perfectly work playing last year read
"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5,1,good nicely packed everyshuttle nice insude perfect flight read
"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5,1,got product earlier expected april sale box properly sealed feb packing import date not sure mrp way cheaper market price per box also checked popular website one close flipkart point always use mavis green cap stability durability speed open court thanks flipkart hoping cheaper deal read
"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5,1,best choice people want practice indoor outdoor badminton not get financial obligation feather shuttle mavis hard find time savior always available yellow one bit better outdoor white fine indoors respective colour given backdrop flipkart offered best price almost season far longevity shuttle starkly less played outdoor due read
"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4,1,long time got entire box genuine shuttle dynamic pricing strategy big everyday price otherwise would happy buy read
very good product n durable but not good enough speed slows down little in mid airREAD MORE,4,1,good product durable not good enough speed slows little mid airread
The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4,1,shuttle imported february bought march last serial number revealed scratching sticker show item genuine not start play yet item look good sturdy got think worth price also happy get item delivered quickly read
Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5,1,best shuttlecock life far better ning shuttle price range purchased sale flight also better shuttlecocksread
Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4,1,good nice balanced shuttle thanks retailnet flipkart hope get convincing rate lowered one read
"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5,1,shuttle best one excellent price matter read
"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1,0,quality bad per day one cork finished may look like duplicate mavis cork purchased many cork box seller cork box come day playing box stay day understand delicate cork box isread
Cost is too high I hate the productREAD MORE,1,0,cost high hate productread
Very poor quality...inconsistent speed...poor flightREAD MORE,1,0,poor quality inconsistent speed poor flightread
Yonex is always best in quality....READ MORE,5,1,yonex always best quality read
worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1,0,worst shuttle last even day poor quality not sure due stock issue copy product would never buy flipkart read
"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5,1,used product good economic use durable good balance long lasting even sustains wrong shot quiet economic compared feather shuttle read
I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5,1,happy product quality arrived actual delivery date given thanks flipkart quick delivery recommended everyone would like enjoy longer satisfied game read
Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5,1,amazing shuttlecockdurable best qualitygo read
checked at Sunrisetnt.com . found genuineREAD MORE,5,1,checked sunrisetnt com found genuineread
Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1,0,horrible order received mavis not sealed bill mavis thought mistake asked replacement replacement received box mavis not sealed inside cheap shuttle local quality not buy flipkart read
AverageREAD MORE,2,0,averageread
"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",5,1,excellent synthetic shuttle yonex used well prefer yellow one visibility general quite durable long lasting one shuttle easily last half dozen dozen intense game flight becomes unacceptable found travel shorter distance therefore prefer read
Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,5,1,best shuttle available market not used shuttle till not aware better shuttle price got flipkart really best price researched checking online store sport shop definitely best price could find read
"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",1,0,bad quality pirchase box fast read
Best shuttle available online no more discription needed.READ MORE,5,1,best shuttle available online discription needed read
long lasting product.....nice product....READ MORE,5,1,long lasting product nice product read
best shuttleREAD MORE,5,1,best shuttleread
🏸Good Quality... 🏸READ MORE,5,1,good quality read
Fabulous itemREAD MORE,5,1,fabulous itemread
Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,5,1,nice quality good product much thankful flipkart courier company delivering quickly happy definitely tell friend order product read
Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,1,0,feel quality far less compared previous set brought platform shuttle breaking wobbling per game session feeling cheated read
This is the original mavis 350READ MORE,5,1,original mavis read
Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,1,0,bad quality poor quality playing ahuttles cap looseread
Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,1,0,poor quality horrible play two game shuttleread
Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,1,0,worst product every ball box got flat within one two stroke disappointed fact flipkart not accepting replacement open box delivery without using product could know quality read
Best oneREAD MORE,5,1,best oneread
Excellent product👌READ MORE,5,1,excellent product read
Very Bad Quality in filpkartREAD MORE,1,0,bad quality filpkartread
Bad qualityREAD MORE,1,0,bad qualityread
Don't have good qualityREAD MORE,1,0,good qualityread
Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,1,0,quality shuttle not per mavis standard read
It's is good product and the service was very goodREAD MORE,5,1,good product service goodread
2nd qualityREAD MORE,1,0,qualityread
Local productREAD MORE,2,0,local productread
Very old stock.. not lasts to even 5 gamesREAD MORE,2,0,old stock not last even gamesread
All shuttles are not good in view of balance.READ MORE,1,0,shuttle not good view balance read
OkREAD MORE,5,1,okread
Nice product all suttles are good 🥰🥰READ MORE,5,1,nice product suttles good read
Nice productREAD MORE,5,1,nice productread
Old one onlyREAD MORE,2,0,old one onlyread
Super ballREAD MORE,5,1,super ballread
According to cost it's average lifeREAD MORE,5,1,according cost average liferead
So worstREAD MORE,2,0,worstread
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,1,0,poor quality read
Quality not good              It was broken after 2 matchREAD MORE,1,0,quality not good broken matchread
Nice product but damage in 1 daysREAD MORE,2,0,nice product damage daysread
Not good at all this is the worst product I have bought at flipkartREAD MORE,1,0,not good worst product bought flipkartread
Low quality. Not durabalityREAD MORE,5,1,low quality not durabalityread
BadlyREAD MORE,1,0,badlyread
Very bad qualityREAD MORE,1,0,bad qualityread
Very bad product a word to describe I write duplicate productREAD MORE,1,0,bad product word describe write duplicate productread
This time quality very very worstREAD MORE,1,0,time quality worstread
Poor quality ☹️READ MORE,2,0,poor quality read
"This shuttles were duplicates, these were not up to the mark.READ MORE",2,0,shuttle duplicate not mark read
Very bad product I ever receivedREAD MORE,1,0,bad product ever receivedread
Bad copy quality riceveREAD MORE,1,0,bad copy quality riceveread
Waste of moneyREAD MORE,1,0,waste moneyread
Quality is very bad and very very tired class shuttecockREAD MORE,1,0,quality bad tired class shuttecockread
So poor qualityREAD MORE,1,0,poor qualityread
Reate is wery to muchREAD MORE,1,0,reate wery muchread
The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,1,0,worst shuttle ever used far buy product low qualityread
not upto mark cork getting cracksREAD MORE,2,0,not upto mark cork getting cracksread
Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,1,0,poor quality not lasting one set base breakinf top wornread
"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",1,0,bad quality not good dont like prefer beacuse delivery late comfortable change elf near product also not deliver emergency thing order flipcart better apps really bad service product quality also badread
Very goodREAD MORE,5,1,goodread
Good quality of shuttlesREAD MORE,5,1,good quality shuttlesread
"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",5,1,writing review rated star received duplicate product rating star received original yonex mavis shuttle thank future hope receive original productsread
Bad productedREAD MORE,1,0,bad productedread
Good productREAD MORE,4,1,good productread
If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,5,1,play hour daily shuttle would last maximum day read
Good productREAD MORE,5,1,good productread
Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,5,1,superb price higher day day two week price gained rsread
BestREAD MORE,5,1,bestread
I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,4,1,play every day play really hard court always best choice read
This item is so good you can buy it it is originalREAD MORE,5,1,item good buy originalread
Excellent for Indoor courtREAD MORE,5,1,excellent indoor courtread
Genuine product. Nice packing.READ MORE,5,1,genuine product nice packing read
Good quality..😍🖤READ MORE,5,1,good quality read
Nice thanks  FlipkartREAD MORE,4,1,nice thanks flipkartread
wow productREAD MORE,4,1,wow productread
1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,1,0,box box bad shuttle shuttle box not playable read
Product is not same as shown in the picture.READ MORE,1,0,product not shown picture read
"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",1,0,realized not buy shuttle online ever cheap duplicate product refund amount replacement product plz waste money read
Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,2,0,shuttle okayish movement air bit different mavis read
shuttle was not of genuine conectarte qualityREAD MORE,1,0,shuttle not genuine conectarte qualityread
poor qualityREAD MORE,1,0,poor qualityread
2 balls are waste. they are rotate. unable to play.READ MORE,4,1,ball waste rotate unable play read
very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,1,0,poor quality shuttle not standing daysread
original productREAD MORE,5,1,original productread
Shuttle not goodREAD MORE,2,0,shuttle not goodread
good as expectedREAD MORE,5,1,good expectedread
goodREAD MORE,5,1,goodread
Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,1,0,yonex mavis not pure item shuttle oldread
"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",5,1,nice product suggest plz buy product original product made japan read
Good👍READ MORE,4,1,good read
very niceREAD MORE,5,1,niceread
niceREAD MORE,5,1,niceread
nice shuttle for outdoorREAD MORE,5,1,nice shuttle outdoorread
amazing cost and amazing oneREAD MORE,5,1,amazing cost amazing oneread
The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,4,1,packing made flipkart absolutely perfect mavis pretty good think cost side get play hard shuttlesread
good dilevary and very good productREAD MORE,5,1,good dilevary good productread
Looks like these are fake shuttles & not sold by yonex.READ MORE,1,0,look like fake shuttle not sold yonex read
worst product not to buy low qualityREAD MORE,1,0,worst product not buy low qualityread
shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,1,0,shuttle shapeless may mishandelrd transportationread
product is not goodREAD MORE,1,0,product not goodread
"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",1,0,day delivery something really frustrating even till get product please work service read
bad qualityREAD MORE,1,0,bad qualityread
Very good productREAD MORE,5,1,good productread
best quality shuttlesREAD MORE,5,1,best quality shuttlesread
good quality. value the moneyREAD MORE,5,1,good quality value moneyread
Very worstREAD MORE,1,0,worstread
NOT BAD....READ MORE,4,1,not bad read
shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,5,1,shuttle good playing last day shuttle still good value money thank flipkart read
"Bad Quality,,,,,,READ MORE",1,0,bad quality read
Quality is not good. Little bit fast.READ MORE,2,0,quality not good little bit fast read
Excellent it's original as I buy in local sports storesREAD MORE,5,1,excellent original buy local sport storesread
"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",1,0,poor quality shuttle become broke within hour playing within dayread
The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,1,0,shuttle worn really quickly quickly regular mavis tried verify authenticity product entering code onto website genuine product attached picture reference developed hairline crack quickly half match shuttle quality read
Nice product best price superREAD MORE,5,1,nice product best price superread
Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,4,1,optimum weight speed easy control shot easy court cover good learner even beginner base not thermocol type material like yonex shurttles cork base get ruptured easily worth buying read
It's not suitable for outdoorREAD MORE,1,0,not suitable outdoorread
It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,2,0,seems not original lighter not lasting hour play read
Horrible shuttle I ever playREAD MORE,2,0,horrible shuttle ever playread
"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",5,1,finally got orginal yonex mavis genuine piece many fake avilable market serious player buy wont regret read
"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",5,1,item received excellent condition within one day thanks team however one suggestion please send item big cardboard box actually wastage resource read
Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,5,1,used box people say fake either never played mavis may received damaged box might disturbed flight shuttle play mavis day day absolutely original speed play well delhi heat degree order moreread
"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",5,1,product good like bought open market price also equal open market would good line price less read
nice itemsREAD MORE,5,1,nice itemsread
Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,5,1,thank flipkart providing great product good quality great deal read
shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,5,1,shutte durable last long good flight time much better purchased local store also offer cheaperread
I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,5,1,love really guudas well fantastic delivery early alsoread
it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,5,1,really good shuttle want improve game best also durable flight good weight balance superb best amateur levelread
"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",1,0,option put image review section shuttle delivered used one not even mavis seller must totally unprofessional basic check seal taken care flipkart atleastread
Value for MoneyREAD MORE,4,1,value moneyread
Excellent product but cost is higherREAD MORE,5,1,excellent product cost higherread
one Shuttle just broken in 4 days by a smashREAD MORE,2,0,one shuttle broken day smashread
"Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales alsoREAD MORE",1,0,shuttle poor guy dont purchase flipkhart check supplier big impact sale alsoread
"nice shuttle , The Flight is correct, and good durability.READ MORE",5,1,nice shuttle flight correct good durability read
Ball best but local rate are highREAD MORE,4,1,ball best local rate highread
"Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",4,1,good slow type cork using daily game one cork last daysread
Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,5,1,best shuttlecock ever play everyday abt hour continusly still use shuttlecock day durable got really good flight yonex rock read
Very worst rateREAD MORE,1,0,worst rateread
shuttle has long life and light.READ MORE,5,1,shuttle long life light read
Worst product.Dont go for it.It will not stand for an hour playREAD MORE,1,0,worst product dont not stand hour playread
You are fleecing customers by tagging wrong MRP.READ MORE,1,0,fleecing customer tagging wrong mrp read
Better for beginnersREAD MORE,5,1,better beginnersread
